iter	Passed	Remaining
401	13036	19392
402	13063	19351
403	13089	19310
404	13116	19269
405	13144	19231
406	13171	19191
407	13198	19150
408	13224	19109
409	13251	19068
410	13277	19028
411	13306	18990
412	13338	18957
413	13364	18916
414	13390	18876
415	13416	18834
416	13443	18794
417	13472	18757
418	13498	18718
419	13526	18679
420	13553	18640
421	13579	18599
422	13608	18562
423	13635	18523
424	13663	18486
425	13689	18445
426	13717	18407
427	13743	18367
428	13768	18326
429	13796	18288
430	13825	18252
431	13853	18214
432	13877	18172
433	13908	18138
434	13934	18098
435	13961	18060
436	13989	18022
437	14014	17981
438	14040	17942
439	14067	17903
440	14093	17864
441	14121	17827
442	14149	17790
443	14175	17751
444	14202	17713
445	14229	17674
446	14258	17639
447	14284	17600
448	14311	17562
449	14336	17522
450	14361	17482
451	14387	17443
452	14415	17406
453	14440	17366
454	14468	17330
455	14493	17290
456	14520	17252
457	14548	17216
458	14574	17178
459	14601	17140
460	14628	17103
461	14657	17068
462	14683	17030
463	14710	16993
464	14736	16955
465	14762	16916
466	14789	16879
467	14815	16841
468	14839	16800
469	14867	16765
470	14896	16730
471	14921	16691
472	14949	16655
473	14976	16620
474	14999	16578
475	15024	16539
476	15049	16501
477	15074	16462
478	15100	16424
479	15127	16388
480	15152	16349
481	15180	16314
482	15208	16278
483	15233	16240
484	15260	16204
485	15286	16166
486	15313	16130
487	15341	16095
488	15364	16055
489	15392	16020
490	15419	15984
491	15445	15947
492	15469	15909
493	15493	15869
494	15514	15828
495	15539	15790
496	15566	15754
497	15593	15718
498	15619	15682
499	15646	15646
500	15670	15608
501	15696	15571
502	15723	15535
503	15749	15499
504	15776	15463
505	15804	15430
506	15829	15392
507	15855	15356
508	15882	15320
509	15909	15286
510	15937	15251
511	15962	15214
512	15989	15179
513	16015	15143
514	16041	15107
515	16069	15072
516	16094	15036
517	16121	15001
518	16149	14967
519	16175	14931
520	16210	14903
521	16240	14871
522	16268	14837
523	16297	14804
524	16325	14770
525	16353	14737
526	16384	14705
527	16409	14669
528	16440	14637
529	16471	14606
530	16500	14573
531	16530	14542
532	16558	14508
533	16589	14477
534	16617	14443
535	16645	14409
536	16677	14379
537	16706	14346
538	16737	14315
539	16766	14282
540	16788	14243
541	16815	14209
542	16843	14175
543	16869	14140
544	16893	14103
545	16919	14068
546	16941	14030
547	16969	13996
548	16991	13958
549	17021	13926
550	17046	13891
551	17076	13858
552	17104	13825
553	17131	13791
554	17159	13758
555	17187	13725
556	17217	13693
557	17246	13661
558	17269	13624
559	17295	13589
560	17316	13550
561	17341	13515
562	17370	13483
563	17400	13451
564	17428	13418
565	17454	13383
566	17482	13351
567	17511	13318
568	17540	13286
569	17573	13257
570	17604	13226
571	17630	13192
572	17661	13161
573	17697	13134
574	17728	13103
575	17757	13071
576	17785	13038
577	17810	13003
578	17835	12968
579	17858	12931
580	17885	12898
581	17911	12864
582	17934	12828
583	17962	12795
584	17994	12765
585	18023	12733
586	18049	12699
587	18075	12665
588	18104	12633
589	18132	12600
590	18154	12564
591	18182	12531
592	18208	12497
593	18235	12464
594	18264	12432
595	18296	12402
596	18324	12370
597	18348	12334
598	18377	12302
599	18407	12271
600	18441	12243
601	18470	12211
602	18497	12178
603	18525	12145
604	18547	12109
605	18573	12075
606	18593	12038
607	18620	12005
608	18650	11974
609	18706	11959
610	18740	11931
611	18768	11898
612	18795	11866
613	18822	11832
614	18847	11798
615	18874	11766
616	18900	11732
617	18923	11697
618	18950	11664
619	18978	11631
620	19005	11599
621	19030	11564
622	19057	11532
623	19083	11498
624	19111	11467
625	19140	11435
626	19167	11402
627	19193	11369
628	19222	11337
629	19251	11306
630	19280	11275
631	19305	11241
632	19332	11208
633	19360	11176
634	19393	11147
635	19418	11113
636	19443	11080
637	19470	11047
638	19495	11013
639	19521	10980
640	19548	10948
641	19576	10916
642	19605	10884
643	19632	10852
644	19659	10820
645	19687	10788
646	19715	10756
647	19740	10723
648	19768	10691
649	19794	10658
650	19840	10636
651	19867	10604
652	19895	10572
653	19922	10540
654	19949	10507
655	19976	10475
656	20006	10444
657	20033	10412
658	20062	10381
659	20089	10349
660	20118	10318
661	20147	10286
662	20174	10254
663	20211	10227
664	20238	10195
665	20265	10162
666	20291	10130
667	20318	10098
668	20344	10065
669	20372	10034
670	20398	10001
671	20428	9970
672	20455	9939
673	20482	9906
674	20514	9877
675	20544	9846
676	20570	9814
677	20596	9781
678	20622	9749
679	20646	9715
680	20671	9682
681	20696	9650
682	20721	9617
683	20747	9585
684	20775	9553
685	20802	9521
686	20827	9489
687	20853	9456
688	20879	9424
689	20905	9392
690	20931	9360
691	20957	9328
692	20983	9295
693	21009	9263
694	21031	9229
695	21054	9196
696	21079	9163
697	21105	9131
698	21129	9098
699	21153	9065
700	21175	9031
701	21198	8998
702	21224	8966
703	21249	8934
704	21275	8902
705	21299	8869
706	21329	8839
707	21355	8807
708	21379	8775
709	21406	8743
710	21435	8713
711	21463	8681
712	21492	8651
713	21521	8620
714	21550	8590
715	21576	8558
716	21605	8527
717	21634	8497
718	21659	8465
719	21683	8432
720	21707	8400
721	21735	8369
722	21764	8338
723	21794	8308
724	21823	8278
725	21848	8245
726	21873	8213
727	21897	8181
728	21922	8149
729	21949	8118
730	21972	8085
731	21997	8053
732	22021	8021
733	22044	7988
734	22066	7956
735	22091	7924
736	22112	7891
737	22136	7858
738	22158	7825
739	22181	7793
740	22203	7760
741	22225	7728
742	22246	7695
743	22269	7662
744	22296	7631
745	22318	7599
746	22342	7567
747	22368	7535
748	22391	7503
749	22412	7470
750	22437	7439
751	22463	7408
752	22490	7377
753	22512	7345
754	22535	7312
755	22562	7282
756	22586	7250
757	22609	7218
758	22634	7187
759	22658	7155
760	22685	7124
761	22713	7094
762	22736	7062
763	22762	7031
764	22786	6999
765	22807	6967
766	22829	6935
767	22852	6903
768	22877	6872
769	22905	6841
770	22931	6811
771	22958	6780
772	22981	6748
773	23005	6717
774	23029	6685
775	23051	6654
776	23077	6623
777	23105	6593
778	23130	6562
779	23154	6530
780	23182	6500
781	23212	6470
782	23236	6439
783	23260	6408
784	23285	6377
785	23312	6347
786	23338	6316
787	23362	6285
788	23392	6255
789	23419	6225
